Date,Meal_Type,Category_Name,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8
2025-01-29,BREAKFAST,South Indian Veg,Idli,Sambar,Coconut Chutney,Filter Coffee,,,,
2025-01-29,BREAKFAST,North Indian Veg,Paratha,Dal,Pickle,Tea,,,,
2025-01-29,BREAKFAST,Continental,Bread,Butter,Jam,Milk,Cornflakes,,,
2025-01-29,LUNCH,South Indian Veg,Rice,Sambar,Vegetable Curry,Curd,Pickle,,,
2025-01-29,LUNCH,North Indian Non Veg,Chicken Curry,Rice,Roti,Salad,,,,
2025-01-29,LUNCH,Chinese,Fried Rice,Manchurian,Soup,Noodles,,,,
2025-01-29,DINNER,Halal,Biryani,Raita,Shorba,Kebab,,,,
2025-01-29,DINNER,Italian,Pasta,Garlic Bread,Salad,Juice,,,,
2025-01-29,DINNER,South Indian Veg,Rice,Dal,Vegetable Curry,Rasam,Pickle,,,
2025-01-30,BREAKFAST,South Indian Veg,Dosa,Sambar,Coconut Chutney,Filter Coffee,,,,
2025-01-30,BREAKFAST,North Indian Veg,Puri,Chole,Pickle,Tea,,,,
2025-01-30,LUNCH,South Indian Veg,Lemon Rice,Sambar,Vegetable Fry,Curd,Pickle,,,
2025-01-30,LUNCH,North Indian Veg,Rajma,Rice,Roti,Salad,,,,
2025-01-30,DINNER,South Indian Non Veg,Chicken Curry,Rice,Rasam,Vegetable,Pickle,,,
2025-01-30,DINNER,North Indian Non Veg,Mutton Curry,Rice,Roti,Salad,,,,
2025-01-31,BREAKFAST,Continental,Pancakes,Honey,Butter,Orange Juice,Coffee,,,
2025-01-31,BREAKFAST,South Indian Veg,Upma,Sambar,Coconut Chutney,Filter Coffee,,,,
2025-01-31,LUNCH,Chinese,Hakka Noodles,Gobi Manchurian,Spring Roll,Soup,,,,
2025-01-31,LUNCH,Italian,Pizza,Garlic Bread,Salad,Cold Drink,,,,
2025-01-31,DINNER,Halal,Biryani,Raita,Chicken Curry,Salad,,,,
2025-01-31,DINNER,South Indian Veg,Rice,Dal,Mixed Vegetable,Rasam,Pickle,,, 
